Iter| Action |	Reward	|	Done	|	Acc_rw
250	|	0	 |	-50.0000	|	false	|	 -11401.0000
251	|	0	 |	-50.0000	|	false	|	 -11451.0000
252	|	0	 |	-50.0000	|	false	|	 -11501.0000
253	|	0	 |	-50.0000	|	false	|	 -11551.0000
254	|	0	 |	-50.0000	|	false	|	 -11601.0000
255	|	0	 |	-50.0000	|	false	|	 -11651.0000
256	|	0	 |	-50.0000	|	false	|	 -11701.0000
257	|	0	 |	-50.0000	|	false	|	 -11751.0000
258	|	0	 |	-50.0000	|	false	|	 -11801.0000
259	|	0	 |	-50.0000	|	false	|	 -11851.0000
260	|	0	 |	-50.0000	|	false	|	 -11901.0000
261	|	0	 |	-50.0000	|	false	|	 -11951.0000
262	|	0	 |	-50.0000	|	false	|	 -12001.0000
263	|	0	 |	-50.0000	|	false	|	 -12051.0000
264	|	0	 |	-50.0000	|	false	|	 -12101.0000
265	|	0	 |	-50.0000	|	false	|	 -12151.0000
266	|	0	 |	-50.0000	|	false	|	 -12201.0000
267	|	0	 |	-50.0000	|	false	|	 -12251.0000
268	|	0	 |	-50.0000	|	false	|	 -12301.0000
269	|	0	 |	-50.0000	|	false	|	 -12351.0000
270	|	0	 |	-50.0000	|	false	|	 -12401.0000
271	|	0	 |	-50.0000	|	false	|	 -12451.0000
272	|	0	 |	-50.0000	|	false	|	 -12501.0000
273	|	0	 |	-50.0000	|	false	|	 -12551.0000
274	|	0	 |	-50.0000	|	false	|	 -12601.0000
275	|	0	 |	-50.0000	|	false	|	 -12651.0000
276	|	0	 |	-50.0000	|	false	|	 -12701.0000
277	|	0	 |	-50.0000	|	false	|	 -12751.0000
278	|	0	 |	-50.0000	|	false	|	 -12801.0000
279	|	0	 |	-50.0000	|	false	|	 -12851.0000
280	|	0	 |	-50.0000	|	false	|	 -12901.0000
281	|	0	 |	-50.0000	|	false	|	 -12951.0000
282	|	0	 |	-50.0000	|	false	|	 -13001.0000
283	|	0	 |	-50.0000	|	false	|	 -13051.0000
284	|	0	 |	-50.0000	|	false	|	 -13101.0000
285	|	0	 |	-50.0000	|	false	|	 -13151.0000
286	|	0	 |	-50.0000	|	false	|	 -13201.0000
287	|	0	 |	-50.0000	|	false	|	 -13251.0000
288	|	0	 |	-50.0000	|	false	|	 -13301.0000
289	|	0	 |	-50.0000	|	false	|	 -13351.0000
290	|	0	 |	-50.0000	|	false	|	 -13401.0000
291	|	0	 |	-50.0000	|	false	|	 -13451.0000
292	|	0	 |	-50.0000	|	false	|	 -13501.0000
